arquivo,kurtosis,skewness,GCF,eme,smn,before_entropy_raw,non_zeros,agrupamentos,comp_maior,comp_menor,max_maior,max_menor,before_mean,before_median,before_max,before_std,before_var,before_entropy,before_inertia,before_energy,before_correlation,before_homogeneity,before_fft_energy,before_fft_entropy,before_fft_inertia,before_fft_homogeneity,h_mean,h_var,h_std,r_mean,r_var,r_std,g_mean,g_var,g_std,b_mean,b_var,b_std,s_mean,s_var,s_std,v_mean,v_var,v_std,class_limiar,class_kmeans,class_svm
1.1EGS MID UG 17-04-12.tif.png,2.950026,1.133938,2.767644,6.990635,0.122983,6.87308,222,13,198,1,63,11,0.003906,0.001707,63,0.00489,0.000024,0.596571,27.211112,0.000629,0.986066,0.33752,0.926355,-0.080709,-5.093354,0.001516,0.905365,0.004344,0.065909,104.948441,908.210694,30.136534,72.903412,1029.444274,32.084954,88.535678,1324.938449,36.399704,0.324364,0.025634,0.160107,0.412893,0.014565,0.120684,AD,NAD,AD
1.1JAO MID M 09-08-11.tif.png,1.778154,0.615263,2.813159,5.388927,0.37229,7.290667,234,1,234,234,136,136,0.003906,0.002306,136,0.003764,0.000014,0.952777,63.647716,0.000707,0.978665,0.430369,0.947531,-0.077089,-20.725965,0.000978,0.128757,0.084666,0.290974,188.648893,1556.180554,39.448454,105.594962,1865.547894,43.191989,92.370529,2197.482767,46.877316,0.529597,0.036041,0.189845,0.739831,0.023945,0.15474,NAD,NAD,NAD
1.1JAO MIE MI 09-08-11.tif.png,2.769032,0.880116,2.218641,2.023285,0.04559,7.37722,227,1,227,227,146,146,0.003906,0.002549,146,0.003574,0.000013,0.510097,5.633543,0.00127,0.998379,0.556111,0.944415,-0.027515,-7.308345,0.000972,0.045501,0.006464,0.080398,186.788141,1367.422822,36.978681,124.63173,1947.34319,44.128712,105.556339,2495.680248,49.956784,0.463375,0.032479,0.180218,0.732508,0.021032,0.145022,NAD,NAD,NAD
1.2EGS MID UG 17-04-12.tif.png,2.932149,1.123713,2.769192,6.97995,0.129177,6.877997,222,13,198,1,63,11,0.003906,0.00172,63,0.004871,0.000024,0.595749,27.132851,0.000627,0.986186,0.33777,0.926501,-0.080512,-4.985899,0.001513,0.905289,0.004269,0.065335,105.220592,911.431451,30.189923,73.113654,1035.94625,32.186119,88.801527,1332.412241,36.502222,0.324355,0.02567,0.160219,0.413963,0.014613,0.120886,AD,NAD,AD
10 JAO MIE MI 25-10-11.tif.png,2.778212,1.017193,1.566056,2.111484,0.039279,6.954871,223,2,222,1,110,32,0.003906,0.001824,110,0.004627,0.000021,0.414801,5.301618,0.001423,0.997509,0.542396,0.954267,-0.031788,-6.050112,0.00063,0.366219,0.211103,0.459459,160.044955,800.728668,28.297149,121.132229,1216.819062,34.882934,118.932407,1365.303926,36.950019,0.279929,0.012388,0.111302,0.627633,0.012317,0.110982,NAD,NAD,NAD
10.1ISP 25-06-12.tif.png,2.803107,1.095968,2.885191,5.078683,0.132255,6.803979,186,9,178,1,75,203,0.003906,0.000913,75,0.005041,0.000025,0.401648,19.848481,0.000705,0.987478,0.352052,0.928945,-0.063289,-3.208493,0.002533,0.886094,0.00966,0.098284,106.222942,1088.813429,32.997173,82.916559,658.280951,25.656986,96.788064,1003.080967,31.671454,0.21857,0.005152,0.071777,0.41849,0.016473,0.128348,NAD,NAD,NAD
10ISP 25-06-12.tif.png,2.640482,1.040674,2.881252,4.927098,0.106597,6.794512,185,9,177,1,73,203,0.003906,0.000764,73,0.005024,0.000025,0.394124,19.779365,0.000705,0.987434,0.352299,0.929059,-0.062997,-2.385577,0.002642,0.886545,0.006756,0.082193,107.705942,1080.100153,32.864877,83.814551,656.298934,25.618332,98.375081,990.861621,31.477955,0.221738,0.005195,0.072079,0.424458,0.016315,0.127729,NAD,NAD,NAD
10JAO MID M 25-10-11.tif.png,2.096553,0.582554,2.677091,5.163816,0.145223,7.049569,205,8,198,1,133,214,0.003906,0.002735,133,0.004114,0.000017,0.465815,9.797706,0.000938,0.996161,0.46307,0.95038,-0.043848,-9.793,0.000884,0.65434,0.197907,0.444868,130.693072,866.829506,29.441968,96.084162,1511.688731,38.880441,98.131988,1548.51124,39.351128,0.312584,0.031452,0.177347,0.512528,0.013333,0.11547,NAD,NAD,X
11JAO MID M 01-11-11.tif.png,2.562379,1.03949,2.014452,2.777602,0.065737,6.74628,203,1,203,203,159,159,0.003906,0.000551,159,0.005152,0.000027,0.491437,7.7377,0.001493,0.994343,0.507239,0.988682,-0.029709,-8.19159,0.0008,0.876354,0.069991,0.264558,191.626633,577.59664,24.03324,134.68525,878.973092,29.64748,146.09359,912.670418,30.210436,0.303765,0.013756,0.117286,0.751496,0.008888,0.094274,NAD,NAD,NAD
11JAO MIE MI 01-11-11.tif.png,2.169054,0.841766,1.999741,2.081304,0.05913,7.047265,243,3,241,1,150,10,0.003906,0.001314,150,0.004446,0.00002,0.551352,6.857816,0.001379,0.996748,0.519,0.983991,-0.031298,-5.232225,0.00074,0.824231,0.102936,0.320837,176.469361,1039.448908,32.240486,134.149731,1059.360047,32.547812,143.772589,1379.226649,37.137941,0.250403,0.0058,0.076156,0.69213,0.016023,0.126582,NAD,NAD,NAD
12.1JAO MIE MI 08-11-11.tif.png,1.910014,0.74614,1.791062,1.804008,0.040101,6.904786,214,3,212,1,167,37,0.003906,0.001,167,0.004635,0.000021,0.376286,4.799111,0.001597,0.997264,0.544131,0.976947,-0.026261,-4.173021,0.000907,0.487811,0.220315,0.469377,175.098659,833.928859,28.877826,135.931243,904.758286,30.0792,135.340284,1206.468399,34.734254,0.252756,0.007754,0.088059,0.686709,0.012843,0.113327,NAD,NAD,NAD
