arquivo,kurtosis,skewness,GCF,eme,smn,before_entropy_raw,non_zeros,agrupamentos,comp_maior,comp_menor,max_maior,max_menor,before_mean,before_median,before_max,before_std,before_var,before_entropy,before_inertia,before_energy,before_correlation,before_homogeneity,before_fft_energy,before_fft_entropy,before_fft_inertia,before_fft_homogeneity,h_mean,h_var,h_std,r_mean,r_var,r_std,g_mean,g_var,g_std,b_mean,b_var,b_std,s_mean,s_var,s_std,v_mean,v_var,v_std,class_limiar,class_kmeans,class_svm
LC80030592015001LGN00_thumb_large.png,54.67136,6.753201,9.797985,32.625664,0.045198,6.500705,255,1,255,255,7,7,0.003864,0.001488,7,0.009844,0.000097,0.997333,242.442542,0.011188,0.966772,0.425215,0.768804,-0.123976,-1.638908,0.003907,0.339243,0.031813,0.178363,45.398416,3698.528695,60.81553,46.964184,3612.838951,60.106896,45.919133,3625.603811,60.212987,0.176117,0.03477,0.186466,0.185019,0.056016,0.236677,AD,AD,AD
LC80030602015001LGN00_thumb_large.png,23.855085,4.46904,9.262863,55.577543,0.017287,6.416464,255,1,255,255,6,6,0.003887,0.001305,6,0.008882,0.000079,0.971134,561.121165,0.003296,0.892158,0.319814,0.650282,-0.175836,-2.181231,0.004956,0.299116,0.013714,0.117106,37.266136,2632.942266,51.312204,39.585179,2577.206158,50.766191,36.755688,2653.630742,51.513404,0.318013,0.091484,0.302463,0.155632,0.039876,0.19969,X,AD,AD
LC80030622015001LGN00_thumb_large.png,9.157845,2.325817,10.647369,36.740182,0.047836,7.173343,255,1,255,255,2,2,0.00384,0.001798,2,0.004811,0.000023,0.92951,654.489975,0.000705,0.898914,0.255197,0.74905,-0.159241,-2.165503,0.004695,0.308288,0.047156,0.217154,54.643805,3241.711569,56.936031,55.531481,3216.507467,56.714262,54.741749,3333.146372,57.733408,0.155679,0.060162,0.245279,0.220305,0.050254,0.224174,NAD,AD,AD
LC80030632015001LGN00_thumb_large.png,25.178935,4.053977,9.241174,18.286412,0.080377,7.052543,255,1,255,255,2,2,0.003745,0.001873,2,0.005503,0.00003,0.986492,223.239183,0.001882,0.970017,0.295264,0.6571,-0.132236,-1.150676,0.003514,0.132042,0.04974,0.223024,53.538121,3729.770811,61.07185,53.463488,3717.539248,60.971627,53.044605,3734.713459,61.112302,0.055103,0.022015,0.148376,0.211345,0.057909,0.240644,NAD,NAD,AD
LC80030642015001LGN00_thumb_large.png,13.249703,1.362606,9.232268,21.102743,0.343714,7.741491,255,1,255,255,2,2,0.003824,0.004222,2,0.00204,0.000004,0.999992,374.365069,0.000172,0.948891,0.19916,0.856961,-0.136774,-0.936562,0.003399,0.213703,0.086425,0.293981,91.0942,3668.633307,60.569244,90.440856,3665.411726,60.542644,89.472537,3661.255395,60.508308,0.054917,0.018514,0.136067,0.35813,0.056707,0.238133,X,AD,AD
LC80030712015001LGN00_thumb_large.png,5.664387,2.007515,4.886079,22.209703,0.029185,6.34001,255,1,255,255,27,27,0.003895,0.000273,27,0.007038,0.00005,0.961359,213.369952,0.001141,0.894562,0.343019,0.827838,-0.164396,-1.821457,0.00437,0.085801,0.002894,0.053795,51.500622,1049.513445,32.396195,41.318647,1013.687889,31.838466,31.644401,1006.873206,31.731265,0.448997,0.025891,0.160908,0.202006,0.016155,0.127103,NAD,AD,AD
LC80030722015001LGN00_thumb_large.png,5.10447,1.722672,5.72794,13.204106,0.561804,7.570953,255,1,255,255,58,58,0.003889,0.002788,58,0.003378,0.000011,0.894575,97.011659,0.000533,0.986933,0.319771,0.794797,-0.099604,-0.692523,0.002798,0.306468,0.087819,0.296344,99.888897,3165.310713,56.261094,88.935428,3884.890481,62.32889,82.926982,4625.751283,68.012876,0.324015,0.074646,0.273215,0.398491,0.050103,0.223837,AD,AD,AD
LC80100272015002LGN00_thumb_large.png,10.198809,1.80849,9.743242,28.153697,0.049887,7.339524,255,1,255,255,2,2,0.003786,0.00249,2,0.003557,0.000013,0.929369,847.952937,0.000238,0.849741,0.170061,0.785816,-0.185682,-2.089272,0.004487,0.480593,0.073389,0.270903,60.827702,2794.831614,52.866167,61.548276,2822.339332,53.125694,64.40416,2894.662415,53.802067,0.112903,0.031185,0.176593,0.253535,0.044747,0.211534,AD,AD,AD
LC80100282015002LGN00_thumb_large.png,14.291475,3.334141,8.65853,27.721938,0.038755,6.775221,255,1,255,255,5,5,0.003799,0.001477,5,0.006779,0.000046,0.988252,392.741493,0.001663,0.94008,0.300065,0.608547,-0.157968,-1.404085,0.003889,0.301811,0.075011,0.273881,44.648308,3198.254525,56.553112,45.376456,3281.768764,57.286724,46.503596,3473.86241,58.939481,0.174925,0.061768,0.248531,0.185737,0.053212,0.230677,AD,AD,AD
LC80100292015002LGN00_thumb_large.png,55.119269,6.75414,7.059206,21.601245,0.005192,5.540696,255,1,255,255,5,5,0.003831,0.000835,5,0.013935,0.000194,0.99551,196.687428,0.026353,0.958977,0.565713,0.619092,-0.142029,-1.586052,0.003995,0.408631,0.058991,0.24288,26.782041,2404.299524,49.033657,27.998788,2392.85004,48.916766,29.000599,2438.659963,49.38279,0.418933,0.096523,0.310681,0.117667,0.037673,0.194096,AD,AD,AD
